;game_name;review_text;hours_played;rating;found_helpful;product_count;review_date;review_length
15;For The Warp;6 2021 EARLY ACCESS REVIEW Fun little game for 4 hours Worth a play on offer  Completed it within that time though and after that there isnt much to make me want to play more  It doesnt have the re-playablity allure that FTL had for different runs / decks and unlocks;3.8;0.0;9.0;490.0;16 July, 2021;274
18;For The Warp;4 2020 EARLY ACCESS REVIEW Game is short and rather shallow Only 3 ships and 5 levels at this stage  Update 4 ships and 6 levels I dont hate this game and will continue to play and update reviews Still not recommended at this stage;8.6;0.0;8.0;167.0;14 July, 2020;240
19;For The Warp;6 Like other negative reviews power scaling is strange and basic survival past the first round or two seems to be based on luck if you get shield capacity and energy The battles are long and enemies are mostly uninteresting You just slug away at each other taking turns recharging shields and taking shots For the price I think there are many other better deck builders but its not awful The art and theme are very well done;10.5;0.0;7.0;441.0;06 April, 2022;432
20;For The Warp;8 2021 EARLY ACCESS REVIEW its really plan and simple for a rouge like in its current state this is a no from me but who knows it might be better in the future;3.8;0.0;12.0;567.0;18 July, 2021;163
22;For The Warp;29 I thought theyd fix the problems the game had in early access They didnt Poor game balance primarily;6.4;0.0;8.0;278.0;29 March, 2022;109
23;For The Warp;er 13 2021 EARLY ACCESS REVIEW Yes the game could do with more balancing and variety of events but the core gameplay is solid fun and recommended Looking forward to seeing it progress out of Alpha and improve even more;57.1;1.0;4.0;13.0;13 December, 2021;224
24;For The Warp; 21 2021 EARLY ACCESS REVIEW For the Warp is like many Roguelike Deck builders but not the addictive properties of games like Slay the Spire By no means is FtW a bad game In this Early Access the game is solid I think Ive only experienced one bug and could not replicate it My ship that just disappeared and could not move Cards and interactions with enemies are what you expect Theyre balanced I think Ive cleared three runs out of my ten Onto their Draft One of the best things is its auto unlocked For those of us who love sealed and drafts Devs great job  Unfortunately there doesnt seem to be a large card pool While each ship starts off with a different deck of cards Each ship can branch out and do something the others can With such a small card pool decks do feel rather similar I hope as time goes on more cards are added Overall I would recommend this game;6.9;1.0;4.0;265.0;21 August, 2021;904
25;For The Warp;0 2020 EARLY ACCESS REVIEW its extremely broken and nearly unplayable graphics settings dont work no settings stay after closing the game it doesnt save or saves just before the end of a previous run but not the one i was just doing a lot of the cards just dont do anything text boxes and overlays and graphics either dont display or are stuck on the screen and stops any progression combined with the saving issue makes it an ironman run every time with the chance of finding a new card that does nothing and thatll clutter the small deck and kill you  Theres promise but Its very far from being worth the 15 bucks or the frustration of the experience it needs a lot of work before its ready;26.7;0.0;7.0;123.0;30 July, 2020;702
26;For The Warp;2 Really nice on the surface concept artstyle musicthe first few runs are really fun  I really wish I could give a reccomendation but its very unbalanced and repetitve If you get the right aka broken combinations of cards/upgrades at the beginning easy win Or you dont then its almost a guaranteed loss  Also some qol improvements would be really nice clear indicators for active powerups or status effects support for 219 resolutions etc  Changes from the early access version are almost not noticable except the new cards Would love to love it but cant as it is right now;17.1;0.0;5.0;111.0;02 April, 2022;602
27;For The Warp;27 2020 EARLY ACCESS REVIEW The game is a very fun roguelike space exploration deckbuilding card-fighter think FTL meets Slay the Spire  I have noticed it tends to lag during combat but its an Alpha so I suppose its to be expected I hope it gets fixed soon though  Also having some animations when a card is played discarded etc would be nice;8.6;1.0;10.0;177.0;27 March, 2020;354
29;For The Warp;6 The game is ok but the total randomness of the cards really detracts Starting a new game with the basic cards becomes a total luck fest on if you meet one or 3 ships If you encounter multiple 3 ship groups in a row you just plain lose The damage output balance is very weak It feels like a beta game Drafting is cool but way over powered compared to the base decks;63.2;0.0;5.0;70.0;06 April, 2022;374
30;For The Warp;ry 26 2021 EARLY ACCESS REVIEW I love the art style and design of the game I have beaten the game on hardcore and draft with every ship The game in its current state is very minimalistic Each run through you need to eliminate most of the starter cards Mass Driver is essential for every single deck this card needs to have a chance to be permanently destroyed each time it is used I can make perfect draw decks with Mass Driver The game is very easy simply by getting a few heal cards and getting as many +to max shield cards What the game lacks most is meaningful interactions with aliens They need to hire some cartoonists or comic strip writers to make some satirical and fun interactions with aliens The game is too easy I can gauranteed win every single run through by farming a zone This game needs to take a note from Slay the Spire and Hades by adding some scaling difficulty modifiers to keep players challenged and interested I do recommend this game but many updates need to come;120.3;1.0;3.0;130.0;26 February, 2021;1006
31;For The Warp; 17 2020 EARLY ACCESS REVIEW Way too short and its not just for the game being in Early Access I dont see much that could be put into this This game has great mechanics card creation kinda nice map movement although its not my favorite but what bothers me most is time you can play it Taking similar titles like Faster than light or Into the Breach they give you much more replay-ability Not taking into considaration Slay the Spire which Im not going to say this game is based on but is in similar style yet it makes you play over and over again  Overall Very nice game but price - play-time ratio is not worth it I really wish Im wrong here and devs have some ways like better campain in plan I would really look forward that;3.3;0.0;3.0;72.0;17 August, 2020;745
32;For The Warp;er 17 2020 EARLY ACCESS REVIEW For the warp is awesome  the team has a lot of future additions planned but even as it is its a solid game every playthrough is different and interesting  the artwork is awesome im a sucker for pixel graphics and this game sports some of the best  im 60 hours in and im sure ill still feel as enthusiastic about this game in another 60 hours  if you love turn based games if you love pixel art if you love space  buy this its worth every cent and we need to throw as much money as we can to the devs Massive Galaxy so that they can continue to make games as awesome as this one  in fact if you even got as far as reading this review then you already know that you want this game  buy it;111.5;1.0;3.0;177.0;17 November, 2020;737
33;For The Warp;3 This game is a -HUGE- slog  Enemies have so much hp and the gameplay is so incredibly dull and unengaging that I could never recommend this to someone;4.2;0.0;6.0;1042.0;03 April, 2022;154
34;For The Warp;2 Just far too little content too few cards just boring;3.1;0.0;3.0;396.0;02 April, 2022;57
35;For The Warp;27 2020 EARLY ACCESS REVIEW What an absolute gem of a game Followed this and played on some shows here in Portugal and also got the Itchio version Finally get to play the final version here on Steam;0.7;1.0;7.0;99.0;27 March, 2020;203
36;For The Warp;ry 9 2021 EARLY ACCESS REVIEW This still feels like its in early access and could use some work before its set At the moment the controls are a little clunky in terms of needing to use multiple clicks to do actions Most of the cards you get also just dont see to offer that much opportunity for synergy - theyre just small numbers boosts a lot of the time The idea has potential overall and its possible a future version will make notable improvements but its currently hard to recommend over the other deck-builder games available on Steam;2.5;0.0;5.0;919.0;09 February, 2021;555
38;For The Warp;y 9 EARLY ACCESS REVIEW This is a seriously underrated game I have played it through almost 20 times and it still doesnt get boring MY favorite feature is the second hidden system ;206.8;1.0;4.0;9.0;09 January, 2022;185
39;For The Warp;2 Problems with the game so far 1 The basic ship balance is not there nothing comes even close to the secret ship 2 No upgrades to cards and no balance either 3 Too short for a release version 4 Bugs out should be in Beta;22.1;0.0;2.0;200.0;02 April, 2022;232
40;For The Warp;31 Shallowly fun but little depth Some card combinations are straight up broken and now everything except that feels bad to me  Also VERY repetitive;15.8;0.0;2.0;158.0;31 March, 2022;151
41;For The Warp;10 got released and I couldnt even tell what was new Super unfinished;31.0;0.0;1.0;82.0;03 May, 2022;72
42;For The Warp;27 2020 EARLY ACCESS REVIEW Not too shabby for being early access  Picture a space-fairing version of Slay the Spire but without as much content or variation Since this is the absolutely bare-bones first release of this game in EA Ill say that theres enough here to make me look forward to the progress the devs make and the certainly the final product  Standard card-adventure fare Start with 3 energy use a combo of block attack and status cards blow up ships and move around a map in search of treasure or death Nice art style nice music  I think this should be 10 bucks 15 bucks for the full product would be fine but this is EA and while fun the game is still limited in scope  If you like supporting devs and like card-based games its worth your time If youre in zero rush for something new to check out you might want to see how often it gets updated before you toss down your money;35.7;1.0;4.0;964.0;27 March, 2020;917
43;For The Warp;9 I enjoyed this game quite a bit enough to play for 30 hours but I really wish there was more meta progression and more content Ships and difficulty modes are the only unlocks and I feel it would be much more engaging/addictive if there was something more to unlock such as different cards or bonuses The atmosphere is good and I enjoyed the music and art style for what it is I did think the giant FTW after every battle was kind of childish and annoying but I got used to it eventually Id like to see some different enemies as on some maps I felt like I was just fighting the same three enemies on every battle yawn The RNG didnt bother me as much as some other people I felt it added a layer of strategy and use for the hand-manipulating cards I also liked that you could save mid-run All in all if you enjoy roguelike deckbuilders and a space setting youll probably have fun with this one for a little while;32.1;1.0;1.0;522.0;09 April, 2022;940
44;For The Warp;7 2020 EARLY ACCESS REVIEW Ive been having a lot of fun with FTW Theres definite stylistic comparisons that can be drawn between FTW and FTL with influence from Slay the Spire but its a standalone game Given that its a Rogue-like-like it can have some randomness problems but is overall pretty well balanced There isnt much of a story at this time but as of this writing alpha 061 its very early in its development Looking forward to a much greater variety of content including encounters enemies and music Looking forward to continued growth and evolution check it out;15.9;1.0;2.0;1207.0;07 April, 2020;592
45;For The Warp;27 2020 EARLY ACCESS REVIEW FTL meets Hearthstone  Gorgeous pixel art Great music Good Sci-Fi Fun game  Still early days but this shows a lot of promise The menus and interactions can use some love but the core of the game is strong and has a great foundation to grow  Already getting that ONE MORE TURN crave every time Im on a roll and am obliterated  *UPDATE*  Over 10 hours in and the game keeps getting better The new ships systems and cards change things up significantly;13.1;1.0;6.0;336.0;27 March, 2020;493
48;For The Warp;r 31 2020 EARLY ACCESS REVIEW This game kicked actual arse Best thing I have played in a long while If you dig FTL and Slay the Spire then get this You wont regret it The art work is stellar and the game play feels so slick Aim for decent energy and defence and you will feel like a natural born killer Still challenging though So stoked to see it develop Huge thanks to the devs You folks are killing it Bravo;44.2;1.0;3.0;401.0;31 October, 2020;423
49;For The Warp;29 2020 EARLY ACCESS REVIEW Guide a Rogue Trader hurtling through space in this deck-builder Card-driven FTL combat only no crew or ship management so its very streamlined and accessible Fun but well see how it develops  Please follow my curator page Designer Plays for a truly massive number of concise and honest reviews from a 25-year veteran Game Designer;1.4;1.0;3.0;17096.0;29 March, 2020;371
50;For The Warp;0 2020 EARLY ACCESS REVIEW Great game still not the full release version but Im really enjoying my time with it cant wait to see what else gets added;12.9;1.0;1.0;463.0;20 July, 2020;154
51;For The Warp;6 2020 EARLY ACCESS REVIEW FTL meets slay the spire loving it hope to see a lot more ships and systems in the future cant wait;20.2;1.0;1.0;21.0;16 July, 2020;130
52;For The Warp;27 2020 EARLY ACCESS REVIEW Already engaging and fun to play The pixel art is really great and what gets your attention right away Despite being in Eearly access I didnt notice any issues and one that I had specific to my machine configuration the developer was fast to fix;1.2;1.0;3.0;437.0;27 March, 2020;279
54;For The Warp;5 2020 EARLY ACCESS REVIEW Very impressive early access game A very good challenge with some new twists from the average deckbuilder theres no discard pile for one which means every card in your deck has an equal chance of being selected each turn This might mean your big card is in your hand every turn or you never see it throughout a combat or anywhere in between The only minor issues Ive seen are slightly overpowered bosses early in the game and a risk-reward movement system that doesnt quite do what its intended to do but the developer is on the message boards and talks to his players so hopefully some of these things will get ironed out over time Honestly one of the best early access games Ive ever played on Steam and I have every reason to believe it will only get better with time Well worth your hard-earned to support what I hope will be a very well received final version;51.6;1.0;1.0;309.0;05 April, 2020;909
58;For The Warp;y 26 2021 EARLY ACCESS REVIEW 2 hours were quite enough to give it few runs to see all the meat Its a nice concept but many aspects of it still requires quite much polish More like no than yes wish there was a neutral option on steam for review system;1.5;0.0;2.0;581.0;26 January, 2021;263
60;For The Warp;29 The game-play is pretty boring for now 5 hours to kill all bosses with second ship on Normal mode and 90% of the time there were repetitive boring fights I expected more variety;5.9;0.0;3.0;101.0;29 March, 2022;183
61;For The Warp;27 2020 EARLY ACCESS REVIEW Awesome game makes me think of Out There with Monster Slayers like combat Im enjoying it a lot;8.3;1.0;3.0;766.0;27 March, 2020;127
62;For The Warp;22 2020 EARLY ACCESS REVIEW This game is extremely fun even for me someone who is new to this genre The cards in this game are pretty broken so its really fun just to destroy your enemies Most of the ships you can get are pretty fair too and expressive My only issue is the last ships deck being drones and shields While I understand its suppose to be a defensive play style it low hull makes it hard to tank attacks even if the deck does give you a lot of shield card I would probably buff the shield cards but its not a big deal Overall a fun game with crucial decision making wits and rng;15.5;1.0;1.0;119.0;22 April, 2020;612
63;For The Warp;30 Terrible game dont buy it It seems like a mix of Slay the Spire and FTL but with only the worst parts of both games - Tedious and boring fights you are limited to about 2 types of encounters per region which repeats for about 5 to 10 times per region On top of that All enemies are essentially the same with different stats as they largely have the same attack moves - Pointsless events the best part of FTl and Slay the Spire was to step on those question mark tiles and not knowing what to expect In this game 9 out of 10 times is you get some fuel/ cash or sell/scrap a card for cash - Ships that you unlock are the same just with different starting stats and starting deck Making progression meaning less - The equipments that you can find are about as basic as it gets;7.4;0.0;5.0;92.0;30 March, 2022;791
65;For The Warp;y 9 EARLY ACCESS REVIEW fine game needs more enemy types;8.3;1.0;1.0;391.0;09 January, 2022;57
66;For The Warp;1 This is a tentative thumbs down Beat the game on my second or third run when I realized you sometimes just get an amazing equipment like permanent +1 energy right at the start of the game and its essentially a free win Lots of unbalanced cards and strange design decisions doesnt quite have the replay factor or the alternatives Slay the Spire Monster Train heck even FTL Fun quick little game with quite a few cards which surprised me but no balance or satisfaction for a lot of events Very repetitive I love the art style but the execution is bland Id probably rate this a 65 or 7 out of 10 at the moment;9.2;0.0;1.0;155.0;01 April, 2022;628
67;For The Warp;17 2020 EARLY ACCESS REVIEW Fun little alpha game basically FTL meets Slay The Spire with great pixel graphics Still not bored after a few runs looking forward to watching it grow;9.6;1.0;1.0;179.0;17 April, 2020;184
68;For The Warp;7 2020 Product received for free  EARLY ACCESS REVIEW Refreshing to see another Pixel Sci-Fi game Rouge like elements are a lot of fun and I was really into it Made for a good stream   Surprisingly complex and a lot of replayability;3.1;1.0;1.0;873.0;07 April, 2020;239
69;For The Warp; 2021 EARLY ACCESS REVIEW If you like card games that throws balance out of the equation because its single player this games got it all Abuse the game mechanics make tiny decks make one turn kill decks make first turn kill deck make combos that ramp damage to 4 digits no run is the same and they hardly ever turn out the way you want fun times cant wait to see more content;56.7;1.0;1.0;67.0;05 July, 2021;387
70;For The Warp; 2021 EARLY ACCESS REVIEW Like the little brother of Slay the Spire and FTL If you like one of these you will also like this The pixel art is nice the hard combos are fun and the gameplay is very fluid with clear UI and nice feedback The game just has a pleasant rhythm and addicting nature Sometimes the runs are hard sometimes you manage to build you overpowered combo both are rewarding Right now the content is still less than FTL and StS but both these game are unusual for the replayability I easily played 10h more than shown here one Steam and still will play more Great game overall;41.7;1.0;1.0;392.0;06 May, 2021;607
71;For The Warp;25 2021 EARLY ACCESS REVIEW Unfortunately have to leave a negative review for this I like the premise having some elements of FTL but its extremely odd to have a deckbuilder have a draw mechanic like this one drawing from the whole deck every turn rather than a discard pile If they changed this I could see the game being a lot better but its restrictive and abusable and makes me think the game has little longevity In my brief time it also seems like it could do with a little more variety in its events and enemies Its a refund for now but still a chance in the future to be a good one with due care;0.4;0.0;3.0;218.0;25 April, 2021;616
72;For The Warp;30 Internet Dependent  bug in the middle of the game because of that this Sux;22.2;0.0;3.0;379.0;30 April, 2022;86
73;For The Warp;27 2020 EARLY ACCESS REVIEW Really enjoyable The random generation element makes it pretty cool  The bosses on Galaxy 3 are kicking my ass badly D;12.3;1.0;2.0;254.0;27 March, 2020;153
74;For The Warp;er 10 2021 EARLY ACCESS REVIEW How are you supposed to beat a cloaked boss that cant be targeted WTF;126.1;0.0;4.0;50.0;10 November, 2021;131
75;For The Warp;er 23 2020 EARLY ACCESS REVIEW This game is super fun if you like strategy and puzzle deck based games this game is all about the risk vs reward Sometimes you get in a situation where you have ZERO chance of winning but it is still early in development and its part of the fun;26.1;1.0;2.0;4.0;23 December, 2020;283
77;For The Warp;ry 19 2021 EARLY ACCESS REVIEW with each update the game gets harder and harder to the point if you dont get a heal card at the start even on normal you will lose your taking away any options for the game with less healing or shields;51.3;0.0;5.0;318.0;19 February, 2021;236
80;For The Warp;5 2020 EARLY ACCESS REVIEW Great fun The game is very challenging and comes with a great soundtrack and beautiful art-style Looking forward to the content updates ;8.5;1.0;1.0;59.0;05 April, 2020;168
81;For The Warp;er 1 2021 EARLY ACCESS REVIEW Slay the Space;6.2;1.0;1.0;378.0;01 December, 2021;45
82;For The Warp; 2021 EARLY ACCESS REVIEW Addictive gameplay;61.1;1.0;0.0;237.0;24 May, 2021;45
83;For The Warp; 2021 EARLY ACCESS REVIEW This game is way more fun than it has any right to be;58.0;1.0;0.0;20.0;14 May, 2021;81
84;For The Warp;5 2020 EARLY ACCESS REVIEW Eh its good but it isnt there yet for me;1.6;1.0;0.0;197.0;15 July, 2020;74
85;For The Warp;19 2020 EARLY ACCESS REVIEW A very interesting game that is still in its development stage It is already playable Nice pixel graphics and music Give it a try especially if you like games like Slay the Spire FTL etc You won`t regret it The developer is regularly listening to the feedback I highly recommend this hidden gem;16.2;1.0;2.0;16446.0;19 April, 2020;335
86;For The Warp;29 2020 EARLY ACCESS REVIEW Game is nice concept but feels like aplha becuse it is aplha  Cards need to be balanced and mechanic making the game more dificult should be put in the combat interface in quite unredable its hard to understand what debuff i have and things like that It is a promising alpha;0.9;1.0;1.0;82.0;29 March, 2020;311
88;For The Warp; 2021 EARLY ACCESS REVIEW Very fun game I had this one on my wish list for a while and waited too long to pull the trigger Vivid art and music make this game just a joy to play More to come as I get more play time;38.4;1.0;0.0;244.0;07 May, 2021;217
89;For The Warp; 2020 EARLY ACCESS REVIEW Yes I am not normally a deck builder fan but this one wins my only real grip is there are only three ships to play as as far as I know Okay now there are more ships and some of the new additions to the card types are really fun Although I still think prime defence and syphon drone are essential early game;91.8;1.0;0.0;318.0;16 May, 2020;340
90;For The Warp;y 29 EARLY ACCESS REVIEW Faster Than Light FTL meets Monster Train Really excited to see how this game develops;47.3;1.0;0.0;334.0;29 January, 2022;115
91;For The Warp; 2020 EARLY ACCESS REVIEW Still an early access title but already fun;36.2;1.0;0.0;335.0;08 July, 2020;72
92;For The Warp; 2021 EARLY ACCESS REVIEW Its an intriguing entry in the card-battle genre but I was disappointed to beat it on the first try I had a card that gave shields and HP for just 1 energy and doesnt get removed from your deck so I was basically invulnerable  In general it doesnt feel like much effort has been spent on card balance Id recommend getting Slay the Spire Monster Train or Griftlands instead;2.8;0.0;2.0;348.0;12 May, 2021;413
93;For The Warp;0 2021 EARLY ACCESS REVIEW This game is good as is and has potential to be even better  Mechanics are very similar to Slay the Spire Theme is pretty great and looks like the story might have some heavy background as they continue working on it  If you are willing to take a gamble or just really like the concept it is probably worth getting even if it isnt on sale;5.4;1.0;0.0;227.0;30 June, 2021;374
94;For The Warp; 2021 EARLY ACCESS REVIEW A fun game mixing Slay the Spire fight and Into the breach map mechanics in space with great potential what do you want more A bit more variety to enemies could help maybe a bit more to the story maybe greater difference between the ships to choose from though Nonetheless one of the greater early access rough-like titles out there right now which already brought my about 7 hours of very nice gaming experience so far I am curious about what else will come down the development roadmap;9.1;1.0;0.0;152.0;24 May, 2021;522
95;For The Warp; 2021 EARLY ACCESS REVIEW For The Warp  Addictive turn based gameplay in a sci-fi setting that is randomized  lovely pixelated artstyle  + fitting soundtrack > winning combination ;77.8;1.0;0.0;668.0;12 May, 2021;187
96;For The Warp; 2021 EARLY ACCESS REVIEW This has A LOT of potential I like the style and art a lot the gameplay is FTL meets Slay the Spire or any other deckbuilder basically Its fun so far but definitely needs balancing and a lot of work As its early access Im hopeful itll be a great game Im glad I picked it up;0.6;1.0;0.0;1880.0;05 May, 2021;312
99;For The Warp; 2020 EARLY ACCESS REVIEW I found this game to be quite addictive right off the bat Theres not a lot of great science fiction themed card games out there but this one is almost certainly going to be at the top of that list when its done;0.5;1.0;0.0;505.0;03 July, 2020;241
100;For The Warp; 2020 EARLY ACCESS REVIEW Played the hell out of the demo enjoyed it Bought the game when it was released in Early Access Found the card Mass Driver which let me thin my deck down to 2 cards - Barrel Roll and Last Resort Wiped out the last two sectors without taking any damage at all The last boss set me on fire once and made me draw one fewer card once which allowed him to hit me for 7 hp  Overall the game is enjoyable but completely unbalanced - long way to go before final release  Im gonna try the hardcore mode but i dont expect much out of it - itll probably have tougher enemies so itll be more difficult for me to assemble a dominating build but the fundamental flaw of plain vanilla game mechanics isnt going anywhere  Also all the enemies are the same just different skins and stats nothing interesting - seen one seen em all  I enjoyed the game for a couple evenings But devs please make it more balanced diverse and overall more interesting;2.9;1.0;0.0;352.0;23 May, 2020;980
101;For The Warp;30 2020 EARLY ACCESS REVIEW 2 things before we begin 1st even though this is a negative review i still enjoy the game and will probably change this review after a few patches 2nd This is the edited version  This game is far to RNG heavy and i think it could be fixed with 1 of 2 things Either give us the power to build a deck by removing or adding cards to your deck even if it is just at the start of the sector Or give us a bigger choice of cards at the start of each Sector My reason for this is simple they is no way of forming a complete build besides random luck  All that said I did have fun playing and will keep playing but I suggest you wait for a few patches to come out before you buy the game;11.3;0.0;2.0;306.0;30 March, 2020;718
102;For The Warp;5 2021 EARLY ACCESS REVIEW Played only the 1st map but I am hooked already;2.6;1.0;0.0;475.0;15 July, 2021;76
103;For The Warp;er 28 2020 EARLY ACCESS REVIEW yup its enjoyable;17.4;1.0;0.0;33.0;28 December, 2020;50
104;For The Warp; 21 2021 EARLY ACCESS REVIEW Pretty fun;10.8;1.0;0.0;284.0;21 August, 2021;41
105;For The Warp;r 28 2021 EARLY ACCESS REVIEW love this game love the art direction but I wish there was more;13.1;1.0;1.0;11.0;28 October, 2021;97
106;For The Warp; 18 2021 EARLY ACCESS REVIEW Saw the Yogscast play the game and bought it immediately Its my first time playing a card based game and I have to say its a lot of fun;11.7;1.0;0.0;250.0;18 August, 2021;169
107;For The Warp;er 21 2021 EARLY ACCESS REVIEW disco disco good good;21.6;1.0;0.0;153.0;21 December, 2021;54
108;For The Warp; Product received for free  It really doesnt stand out at all Its just another one of those deck builder games It doesnt have much in the way of charm or originality;0.7;0.0;0.0;950.0;12 May, 2022;171
109;For The Warp;9 2021 EARLY ACCESS REVIEW Disappointing Some builds of the game I couldnt even play because of technical issues aspect ratio/screen region problems couldnt detect inputs etc but beyond that the game design has very large flaws There is no disincentive for going to every single square and fighting every single enemy which makes the entire experience involve no meaningful decision making and having it be extremely tedious and boring There are large balance issues with certain cards being much too efficient and easy to consistently draw due to deck size Pass;2.9;0.0;1.0;85.0;29 June, 2021;576
110;For The Warp;3 Great game play with really good replayability ;51.0;1.0;0.0;200.0;03 April, 2022;50
111;For The Warp;22 2021 EARLY ACCESS REVIEW i love this game thx to xisumavoid;21.1;1.0;0.0;50.0;22 March, 2021;63
112;For The Warp;8 2020 EARLY ACCESS REVIEW NoOoOoO YoU CaNt JuSt Go InFiNiTe WiTh ThE StArTiNg CaRdS  Light Destroyer Haha Gatling gun go Brrrrrrrrrrrrrrrrrrrr;4.3;1.0;0.0;244.0;28 June, 2020;146
114;For The Warp;19 2020 EARLY ACCESS REVIEW Managed to reach stage 4 and the game crashed When I reboot the game it resumed to the previous game where I failed;48.4;0.0;2.0;21.0;19 April, 2020;147
115;For The Warp;29 Its quite boring;1.5;0.0;2.0;353.0;29 March, 2022;20
116;For The Warp;ry 21 2021 EARLY ACCESS REVIEW broken game;2.7;0.0;2.0;48.0;21 February, 2021;43
117;For The Warp;30 Product refunded  The art is amazing but it wasnt for me Im not quite sure why but it just wasnt fun to me;0.6;0.0;2.0;531.0;30 March, 2022;115
118;For The Warp;2 2021 EARLY ACCESS REVIEW This game has the most  for brains UI design Ive ever seen You can easily reject rewards by mistake by having your mouse too close to the skip button found a mythic card  you You were 1 pixel too far right  Design flaws like that are indicative that a developer is either clueless and has never worked in any real professional capacity or that they just dont care;7.7;0.0;3.0;83.0;02 April, 2021;409
