;game_name;review_text;hours_played;rating;found_helpful;product_count;review_date;early_access;review_length
104;For The Warp;EARLY ACCESS REVIEW kinda fun but way to meany bugs on my first run for some reason my ship did not take any damage from attack leading to an easy not fun win on my 2nd run game would 3 times when leaving events/combat the game got sort of soft locked were i had to quit to main menu and continue run to to keep playing not game breaking but very annoying;11.1;0.0;0.0;67.0;05 February, 2022;False;355
105;For The Warp; Early Access review mostly entertaining but seems to make no attempt at balance A balance pass will presumably come before the launch from Early Access post-Early Access update nope no apparent attempts at balance If the Heart of the Cards smiles on you you will draw amazing combos for free or not need combos at all due to single-card win conditions Or occasionally you will roll up to an enemy who will immediately attack for more damage than your hull+shields combined while you draw no defense  This game has promise and will probably get better but as of November 2021 it is not a game I can recommend;5.9;0.0;0.0;1460.0;27 November, 2021;True;608
106;For The Warp;FTW doesnt have much of a story If any story It is lacking in ways to make the playable ships different All ships draw from the same card pool  The boss fights are just a big bag of health points Even the final fight is no different to all the fights that came before  With a name like FTW it is going to be compared to FTL And FTL is better in every way FTW could have learnt a LOT from them especially about story;18.6;0.0;12.0;465.0;06 April, 2022;False;415
107;For The Warp; its extremely broken and nearly unplayable graphics settings dont work no settings stay after closing the game it doesnt save or saves just before the end of a previous run but not the one i was just doing a lot of the cards just dont do anything text boxes and overlays and graphics either dont display or are stuck on the screen and stops any progression combined with the saving issue makes it an ironman run every time with the chance of finding a new card that does nothing and thatll clutter the small deck and kill you  Theres promise but Its very far from being worth the 15 bucks or the frustration of the experience it needs a lot of work before its ready;26.7;0.0;7.0;126.0;30 July, 2020;True;666
108;For The Warp; Like other reviews have said the draw mechanic is nonsensical You dont draw a card from the top you draw it from a pool So you can miss a card again and again and redraw cards immediately after playing them  Finished the game on my second run using an infinite loop of gattling fire Got nothing for it Hardcore didnt even unlock Game is really basic and lacks anything to set it apart from others Art is pretty nice the theme is good Ran into several bugs  Play Monster Train instead;1.7;0.0;30.0;490.0;05 August, 2020;True;484
109;For The Warp;Misses out on a lot of what makes deckbuilders like slay the spire fun Poorly balanced cards and repetitive encounters make this game not very enjoyable There are also a lot of poor design decisions like the ability to pool shield between turns and the lack of scaling damage over time that incentivises the player to play in the most boring way possible Stack as much shield as possible every turn then spend remaining energy on attack cards with little to no regard for what the enemies are doing;7.2;0.0;7.0;60.0;12 April, 2022;False;498
111;For The Warp;Product received for free  It really doesnt stand out at all Its just another one of those deck builder games It doesnt have much in the way of charm or originality;0.7;0.0;1.0;950.0;12 May, 2022;False;164
113;For The Warp;Product refunded  The art is amazing but it wasnt for me Im not quite sure why but it just wasnt fun to me;0.6;0.0;2.0;532.0;30 March, 2022;False;106
114;ELDEN RING;ive had better at a school cafeteria;162.4;1.0;1.0;61.0;17 May, 2022;False;36
115;ELDEN RING;it good;49.3;1.0;0.0;220.0;19 May, 2022;False;7
116;ELDEN RING;is good much fun and broken screens;22.9;1.0;0.0;41.0;16 May, 2022;False;35
117;ELDEN RING;idk ig its good;166.3;1.0;0.0;44.0;18 May, 2022;False;15
118;ELDEN RING;Its Okay;101.4;1.0;0.0;362.0;19 May, 2022;False;8
119;ELDEN RING;28 hours of raging and crying fun time for a masochist like me;28.0;1.0;0.0;99.0;22 May, 2022;False;62
120;ELDEN RING;Elden Ring is one of those games you really get involved in you are fully mmersed in the story and the amazing world has so much to offer The game can be as hard as you want it to be but the difficulty scaling of this game is a side show compared to the lore that this game brings This game has revitalised the open world formula that we are so used to and i am so glad to have played this game as it is AMAZING 95/10 some repeat bosses map could be clearer at some regions but overall Game of the year 2022 Highly recommended to anyone who likes adventure games;138.1;1.0;0.0;39.0;22 May, 2022;False;562
121;ELDEN RING;a big 95/10 the game is amazing but unfortunately tihs game is not the best game on pc optimized wise but this game is still incredible;58.9;1.0;0.0;21.0;22 May, 2022;False;135
122;ELDEN RING;Great game with a huge amount of content Youll think youre done exploring an area then turn around and find something amazing and unexpected And the areas are vast so its saying a lot that they are so packed with content and awe-inspiring artwork/design Like a lot of people say some things can use more explaining like Flasks which took me 45 hours and some outside help to figure out they reset at sites of grace or the church of atonement which not knowing about caused me to kill an NPC needlessly but thats a small drawback for everything else thats so good about the game Its a game you cant miss and Im glad my partner convinced me to try it;58.9;1.0;1.0;131.0;17 May, 2022;False;648
123;ELDEN RING;its addicting Its great that you can play the game again in a whole new aspect;114.6;1.0;0.0;12.0;23 May, 2022;False;78
124;ELDEN RING;Died to fall damage more times than to any boss Very fun and relaxing game;157.5;1.0;0.0;51.0;19 May, 2022;False;74
125;ELDEN RING;They come for my butt;26.1;1.0;0.0;56.0;18 May, 2022;False;21
126;ELDEN RING;big fun;9.9;1.0;0.0;9.0;22 May, 2022;False;7
129;ELDEN RING;This games aight i guess;100.2;1.0;0.0;23.0;19 May, 2022;False;24
130;ELDEN RING;Do I have to Say Something About this masterpiece ;145.7;1.0;0.0;128.0;20 May, 2022;False;50
131;ELDEN RING;Elden Ring;171.6;1.0;0.0;22.0;18 May, 2022;False;10
132;ELDEN RING;just buy it stop being on the fence as long as youre not dumb like a certain yt review you will be fine;60.2;1.0;0.0;68.0;16 May, 2022;False;103
133;ELDEN RING;very fun game very easy and it is very chill and makes me calm;86.0;1.0;1.0;51.0;20 May, 2022;False;62
134;ELDEN RING;Product received for free  i like fighting the bosses;79.8;1.0;0.0;3.0;17 May, 2022;False;53
135;ELDEN RING;Well designed good combat;51.4;1.0;1.0;10.0;21 May, 2022;False;25
136;ELDEN RING;so fun;4.7;1.0;0.0;13.0;18 May, 2022;False;6
138;ELDEN RING;Yessssssssssssssssssssssss;106.5;1.0;0.0;23.0;16 May, 2022;False;26
139;ELDEN RING;I Literally cant stop thinking about this game My friends have stopped talking to me because I have gained the ability to turn any conversation about any subject into a Elden ring fun fact This game has changed my life;124.3;1.0;0.0;104.0;17 May, 2022;False;218
140;ELDEN RING;Give it a shot if you are at all interested;70.3;1.0;0.0;140.0;16 May, 2022;False;43
141;ELDEN RING;Elden Rings open world is massive and gorgeous to behold There is no shortage of places to explore Its a welcome departure from its predecessors on-rails experience  The game is challenging and engaging It does not hold your hand so I recommend paying attention to dialogue environment and even item descriptions Some fights can feel punishing until you learn them well  There is a surprising amount of build depth and variety You can usually change out your weapon skills/spells or infusion to counter a difficult boss Watch the enemies carefully - they all have predictable telegraphs and attack patterns  There is no cross play with consoles so keep that in mind if you want to play with friends;219.3;1.0;0.0;111.0;16 May, 2022;False;698
142;ELDEN RING;I met a dog;16.5;1.0;0.0;155.0;16 May, 2022;False;11
144;ELDEN RING;try finger but hole;109.3;1.0;0.0;100.0;19 May, 2022;False;19
145;ELDEN RING;good game;54.1;1.0;0.0;6.0;22 May, 2022;False;9
146;ELDEN RING;thy challenge tarnished;51.5;1.0;0.0;20.0;21 May, 2022;False;23
148;ELDEN RING;Best From Software Game So Far;270.0;1.0;0.0;42.0;21 May, 2022;False;30
149;ELDEN RING;very nice;50.8;1.0;0.0;24.0;18 May, 2022;False;9
150;ELDEN RING;I wish I could experience Elden Ring for the first time again Truly has become one of my favorite games Ive ever played About to start NG+3 and still having fun;216.3;1.0;0.0;177.0;18 May, 2022;False;160
151;ELDEN RING;its clean aye;71.8;1.0;0.0;9.0;20 May, 2022;False;13
152;ELDEN RING;Amazing Game This game provides insane amount of quality Gameplay 10/10 would Recomend It;77.1;1.0;0.0;25.0;22 May, 2022;False;89
153;ELDEN RING;Yes  https//melmagazinecom/wp-content/uploads/2021/09/image6-1png;232.1;1.0;0.0;543.0;22 May, 2022;False;65
155;ELDEN RING;now i may sound stupid but this is my first actual soulsborne game this game is amazing i would totally recommend;4.6;1.0;0.0;31.0;23 May, 2022;False;113
156;ELDEN RING;it is time consuming but fun;80.5;1.0;0.0;3.0;16 May, 2022;False;28
157;ELDEN RING;its just kinda meh like its cool at some parts but it just doesnt really FEEL like a souls game interesting to those that wanted an open-world souls game but for me Soulsborne + open-world DONT mix  also way too long feels like a final fantasy game with how much s there which you might think is a good thing but once you get to your 4th gourmet meal of gameplay you just feel like throwing up;53.0;1.0;0.0;35.0;21 May, 2022;False;393
160;ELDEN RING;I have never been able to put numerous hours into a single player game Elden ring is the first ever Including any of the previous souls games the witcher skyrim red dead redemption its just such a beautiful and immersive game;43.7;1.0;0.0;16.0;22 May, 2022;False;225
161;ELDEN RING;Maybe;48.2;1.0;0.0;722.0;17 May, 2022;False;5
162;ELDEN RING;Few things you should know before getting this It punishes you mercilessly for mistakes It rewards you just enough to keep you wanting to beat the crap out of that one thing you cant seem to beat yet The PVP that comes as part of asking a friend for help is so far beyond frustrating to those that dont want it that I have thought long and hard about how many times I want to punch the developers in the face Those that are loyal to the dark souls games appear to defend this Personally I @#&^ing hate it beyond all So be warned For reference though Im 390 almost hours into playing this over and over and yet Im still staying strong  Kalico Range;382.6;1.0;0.0;111.0;19 May, 2022;False;647
163;ELDEN RING;Fantastic;34.7;1.0;1.0;50.0;23 May, 2022;False;9
164;ELDEN RING;Unfortunately for you however you are maidenless  10/10;46.6;1.0;0.0;14.0;20 May, 2022;False;55
165;ELDEN RING;its an in depth game that would take on a long journey of discovery with a interesting story line;70.7;1.0;0.0;125.0;17 May, 2022;False;97
166;ELDEN RING;Product received for free  hard as heck but so much fun vast open world and honestly after only 11 hours I love this havent left the first area but why would you with all the beauty you can look at I know Im procrastinating because Im afraid of getting my butt kicked but hey Im having fun;16.1;1.0;0.0;32.0;18 May, 2022;False;289
167;ELDEN RING;Cool game Very pog;21.0;1.0;0.0;8.0;19 May, 2022;False;18
168;ELDEN RING;one of the best open world game with absolute freedom for different play styles and challenging game play is like the icing on the cake;120.1;1.0;0.0;16.0;18 May, 2022;False;135
170;ELDEN RING;best game out rn;86.3;1.0;0.0;50.0;17 May, 2022;False;16
172;ELDEN RING; bosses chain die Best game ever;73.2;1.0;0.0;83.0;22 May, 2022;False;32
173;ELDEN RING;GOTY 2022;198.1;1.0;0.0;60.0;21 May, 2022;False;9
176;ELDEN RING;Game of the year;105.5;1.0;0.0;20.0;18 May, 2022;False;16
177;ELDEN RING;Product received for free  As someone who generally sucks at games I still found the fun in the challenge of this masterpiece;128.6;1.0;1.0;62.0;21 May, 2022;False;125
178;ELDEN RING;Pinnacle of their game design experience from over a decade of soulsbourne games;39.8;1.0;0.0;35.0;23 May, 2022;False;80
179;ELDEN RING;I recommend this game to other players;129.5;1.0;1.0;51.0;18 May, 2022;False;38
181;ELDEN RING;I want malenia to peg me and since she cant i have to give it a 0/10;47.2;1.0;1.0;90.0;23 May, 2022;False;68
182;ELDEN RING;try fingers  but hole;182.9;1.0;0.0;139.0;21 May, 2022;False;21
183;ELDEN RING;GODLY amzing graphics and amazing gameplay;96.2;1.0;0.0;15.0;18 May, 2022;False;42
184;ELDEN RING;Well to put it bluntly this game is good enough to ruin your life for a while It is a tragedy that someone was vindictive enough to release this perfect thing into a world full of dumb monkeys We are not worthy;169.5;1.0;0.0;20.0;16 May, 2022;False;210
185;ELDEN RING;VERY GOOT;764.7;1.0;0.0;22.0;17 May, 2022;False;9
186;ELDEN RING;this game almost hits as hard as my drunken father;84.3;1.0;0.0;9.0;19 May, 2022;False;50
187;ELDEN RING;literally just buy it dont be an idiot;116.1;1.0;0.0;135.0;18 May, 2022;False;38
